feature,importance,importance_std
EPR,0.13355584350690491,0.011443227093771866
month_sin,0.12996687687119185,0.011868972144643481
wind_mag,0.04972245661753856,0.00859922194779223
EPR_lag1,0.04593160587740237,0.007021714709872902
high_sla,0.04304592600797018,0.007949948329928928
high_sst_lag1,0.023603411634711753,0.004416190144417638
wind_mag_lag2,0.016545275875987354,0.002891067482829436
high_sla_lag3,0.015961510260662594,0.004129350319412304
EPR_lag3,0.011003824884006086,0.0036932946999107506
month_cos,0.0082616367248128,0.0023065511159789543
high_sst,0.006397838892137126,0.0019587086899866568
high_sst_lag2,0.005959571017236503,0.0016331596724627692
high_sla_lag1,0.004083817197318029,0.0023873308447616647
curr_mag_lag3,0.0030348414469838656,0.0014057081360180598
curr_mag_lag2,0.00186637859499037,0.0011822686314917812
wind_mag_lag3,0.0018133940646984203,0.0010776643668806323
wind_mag_lag1,0.0016001970434908809,0.0006359836268628461
EPR_lag2,0.0012706449576361301,0.0009237129133251694
high_sst_lag3,0.00125608399038738,0.00044308298809526807
high_sla_lag2,0.0010072739103531626,0.000735403804291157
curr_mag,0.0007944937722911327,0.0003243127460445182
curr_mag_lag1,0.0006834353620492506,0.00041089299932303794
