feature,importance,importance_std
med_sst,0.12025708100773594,0.009969134893030923
med_sst_lag1,0.102370917002191,0.006218507389629712
med_sst_lag3,0.07715908426036078,0.006227234829799255
month_sin,0.07124408686037882,0.005560811681183331
EPR_lag2,0.06632165662518501,0.008062665583754751
curr_mag_lag2,0.05714480763041983,0.006147718882850499
EPR_lag3,0.05404324450579312,0.004512491056566209
med_sla_lag3,0.05361635012388988,0.004674891202620136
wind_mag_lag2,0.04403372486395574,0.004595080101759923
EPR_lag1,0.04363700408793902,0.004898701342265308
med_sla_lag2,0.03905076260144291,0.002797223877302318
curr_mag,0.03845811731313405,0.0033745007980291834
med_sst_lag2,0.03770641279295202,0.0030093763637309774
wind_mag_lag1,0.0346560659416686,0.003505293068756121
curr_mag_lag1,0.03222674870017518,0.0027237508588600734
EPR,0.03158957270617696,0.0027002088353560412
med_sla_lag1,0.028112760170968525,0.002134215680958868
med_sla,0.026966234825824154,0.001757787256581095
month_cos,0.02461571512815206,0.0015524257677909884
wind_mag_lag3,0.024552184739155707,0.001956862908433614
curr_mag_lag3,0.019646763429269316,0.0015476997819436433
wind_mag,0.017629616875248555,0.0020888783006252597
